y,x1,x2,x3,x4,x5,x6
3283,R100 ,R141 ,1513.74,0.09,16700,5
3284,R400 ,R423 ,1161.45,0.07,11300,2
3285,R400 ,R462 ,2880.72,0.17,36700,3
3287,R400 ,R452 ,1718.72,0.1,19800,1
3290,R400 ,R446 ,4845.36,0.28,43415,2
3292,R300 ,R352 ,1573.85,0.09,32600,6
3293,R200 ,R236 ,3814.79,0.22,31536,9
3295,R400 ,R412 ,1857.09,0.11,0,3
3296,R400 ,R422 ,4049.03,0.24,33425,2
3304,R400 ,R429 ,1836.82,0.11,29738,1
3305,R400 ,R470 ,3247.8,0.19,14200,1
3306,R400 ,R447 ,3985.04,0.23,31800,1
3307,R100 ,R116 ,1214.94,0.07,6300,5
3310,R400 ,R421 ,3038.08,0.18,39623,3
3315,R200 ,R261 ,2407.47,0.14,16400,9
3316,R100 ,R178 ,2398.48,0.14,18196,8
3318,R400 ,R424 ,2678.01,0.16,35000,2
